:START_ID,:TYPE,:END_ID
524,IS_MOTHER_OF,523
525,IS_DAUGHTER_OF,154
526,IS_SITUATED_AFTER,400
527,CAME_OUT_FROM_THE_WRATH_OF,528
527,WAS_PLACED_AT,526
527,WAS_PLACED_BY,64
529,IS_FATHER_OF,530
531,SACRIFICIAL_AREA_WAS_OVERFLOODED_BY,105
532,IS_A_PRIEST_OF,6
162,IS_SITUATED_TO_THE_NORTH_OF,526
312,IS_CREATED_BY,64
534,IS_SON_OF,260
534,JOINED_THE_FORCE_OF,5
536,IS_SON_OF,10
536,IS_CONSECRATED_BY,5
537,IS_DEFEATED_BY,128
538,IS_SITUATED_IN,449
538,IS_FOUNDED_BY,10
539,FOUGHT_WITH,434
409,TOOK_A_BATH_IN,433
337,IS_WIFE_OF,542
338,IS_SON_OF,337
543,IS_CROSSED_BY,116
115,IS_SON_OF,379
136,WAS_ACCOMPANIED_TO,544
136,WAS_ACCOMPANIED_BY,545
115,IS_WIFE_OF,114
546,WAS_CREATED_TO_HELP,5
547,IS_ANOTHER_NAME_OF,188
548,ARE_PRODUCED_BY,547
548,ARE_PRODUCED_TO_HELP,5
549,IS_ANOTHER_NAME_OF,550
552,REQUISITIONED_THE_SERVICES_OF,551
551,WAS_CURSED_BY,364
553,LIVED_NEAR_THE,274
10,IS_PASSED_BY,554
555,IS_SITUATED_IN,519
123,HAS_SEATED_ON,555
556,IS_FROM_THE_FAMILY_OF,450
218,IS_PLACED_BY,557
218,WAS_PLACED_AT,558
325,IS_THE_DESTROYER_OF,559
65,DEPUTED_TO,560
65,DEPUTED_ON_THE_RESPONSIBILITY_OF,288
561,LIVED_AT,510
561,IS_KILLED_BY,5
128,WAS_ACCOMPANIED_BY,562
563,FOUGHT_AGAINST,80
564,IS_DAUGHTER_OF,154
565,IS_SON_OF,360
566,IS_YOUNGEST_SON_OF,248
567,IS_FOUNDED_BY,566
177,IS_THE_PRIEST_OF,566
530,IS_KILLED_BY,5
530,WAS_KILLED_AT,133
431,WAS_DISFIGURED_BY,5
568,WAS_A_DOOR_KEEPER_OF,260
569,LIVED_AT,544
569,IS_MATERNAL_UNCLE_OF,136
570,IS_DAUGHTER_OF,154
570,IS_WIFE_OF,149
222,IS_SON_OF,570
330,IS_SON_OF,570
571,IS_A_COURTIER_OF,5
574,IS_DAUGHTER_OF,573
574,IS_WIFE_OF,575
355,IS_ASKED_TO_GO_TO,576
355,IS_ASKED_BY,136
577,HAS_RESPONDED_TO_THE_CALL_OF,136
577,IS_HONOURED_BY,5
552,LIVED_AT,579
578,IS_SITUATED_NEAR,579
116,IS_ASKED_TO_GO_TO,580
582,LIVED_AT,583
382,IS_WIFE_OF,149
382,IS_DAUGHTER_OF,154
584,IS_SON_OF,4
584,IS_FATHER_OF,46
585,IS_A_PRIEST_OF,6
586,IS_KILLED_BY,114
586,IS_FATHER_OF,587
589,IS_FATHER_OF,588
589,IS_HUSBAND_OF,590
588,IS_BROTHER_OF,587
591,IS_SISTER_OF,588
