:ID,:LABEL,lemma
349,Human,सोमदत्त
350,Hill,काञ्चन 1
351,Priest,काञ्चन 2
353,Human,कात्यायन
354,Range_of_hills,काम
355,Monkey,शतवल
356,Rakshasa,प्रहस्त
357,Rakshasa,कुम्भहनु
358,Rakshashi,कुम्भीनसी
359,Rakshasa,मधु
360,Rakshasa,सुमाली
361,Rakshashi,केतुमती
362,Country,कुरु
363,Forest,कुरुः
364,Rakshasa,कुबेर
365,Garden,उद्यानम्
366,Land,कुरुजाङ्गल
367,Human,कुल
368,Town,कुलिङ्गा 1
369,Country,शरदण्ड
371,River,कुलिङ्गा 2
372,Maharshi,विश्रवा
373,Brahmana,कुश 1
374,Human,कुशाम्ब
375,Human,कुशनाभ
376,Human,असूर्तरजस
377,Human,वसु
378,Maharshi,कुशध्वज 1
379,Maharshi,बृहस्पति
380,Human,वेदवती
381,Tapovan,कुशप्लव
382,Devi,दिति
383,Rakshasa,दैत्य
384,Tapasya,तपस
385,Capital,कुशावती
386,Town,कौशाम्बी
387,Human,कुशाश्व
388,Human,सहदेव
389,Rishi,कौशिक 1
390,Country,कौशिक 2
391,Maharshi,कौशेय
392,Mani,कौस्तुभ
393,Prajapati,क्रतु
394,Monkey,क्रथन
395,Monkey,क्रोधन
396,Forest,क्रौञ्च 1
397,Mountain,क्रौञ्च 2
398,Human,क्रौञ्ची
399,Human,ताम्रा
400,Sea,क्षीरोद
401,Devine_juice,अमृत
404,Gana,असुर
406,River,कौशिकी
407,Prince,कुशी
408,Residential_place,आश्रम 1
409,Maharshi,वाल्मीकि
410,Devi,कृत्तिका
411,God,कार्तिकेय
412,Prajapati,कृशाश्व
413,Weapon,शस्त्र
414,Mountain,कृष्णगिरि
415,Monkey,रम्भ
416,River,कृष्णवेणी
417,Country,केकय
418,Gandharvi,नर्मदा 2
419,Country,केरल
420,Human,केशिनी 1
421,River,केशिनी 2
423,Rakshashi,कैकसी
424,Daitya,कैटभ
425,Lake,मानस
426,Mountain,कैलास
427,Country,कोशल
428,River,सरयु
429,King,भानुमान्
430,District,कोशकार
431,Rakshashi,शूर्पणखा
432,City,शृङ्गवेरपुर
433,River,तमसा
434,Monkey,गज
435,Deity,गन्धर्व
436,Yajna,पुत्रेष्टि
437,Daitya,गन्धर्वी
438,Devi,सुरभी
439,Animal,अश्वाः
440,King,गय
441,Country,गया
442,Rishi,गर्ग
443,Monkey,गवय
444,Rank,यूथपति
445,Monkey,गवाक्ष
446,Residential_place,भवन
447,Human,गाधि
448,Monkey,गन्धमादन
449,City,गान्धार
450,Rishi,गार्ग्य
451,Human,युधाजित्
453,Rishi,गालव
454,Gandharva,ग्रामणी
456,Town,गिरिव्रज 1
457,Town,वसुमती
458,Human,गिरिव्रज 2
459,Tribe,गुह
460,Demi-god,गुह्यक
461,Town,गोकर्ण
462,River,गोदावरी
463,Forest,पञ्चवटी
464,Gandharva,गोप
465,Pier,गोप्रतार
466,River,गोमती
467,Kingdom,कोशल
468,Human,गोमुख
469,Human,मातलि
470,Gandharva,गोलभ
471,Priest,गौतम 1
472,Town,मिथिला
473,Rakshasa,घन
474,Apsara,घृताची
475,Rakshasa,घोर
476,Rakshasa,चक्र
477,Hill,चक्रवान्
478,Monkey,चण्ड
479,Society_class,चण्डाल
480,Rakshashi,चण्डोदरी
481,Forest,चन्दनवन
482,Animal,वानराः
483,Range_of_hills,चन्द्र
484,Human,चन्द्र 1
486,Devine_place,मल्लभूमि
487,Human,चन्द्रकेतु
488,Place,चन्द्रकान्त
490,Country,चन्द्रचित्रा
491,Tribe,चरण
492,Animal,वानरसन्तान
493,Hill,चित्रकूट
494,Human,चित्ररथ 1
495,Garden,चित्ररथ 2
496,Forest,चित्ररथ 3
497,Human,चूलिन्
498,Gandharvi,सोमदा
499,Country,चोल
501,Maharshi,च्यवन
502,Mountain,हिमालय
503,Maharshi,भृगु
504,Rakshashi,छायाग्राह
505,Town,जटापुर
506,Snake,जटी
507,Human,मिथि
508,Human,जनक 2
509,Human,जनमेजय
510,Place,जनस्थान
511,Rishi,परशुराम
512,Bow,वैष्णव
513,Rakshasa,जम्बुमाली
514,Continent,जम्बूद्वीप
515,Mountain,सौमनस
516,Human,पुत्राः 1
517,Village,जम्बूप्रस्थ
518,Monkey,जम्भ
519,Country,लङ्का
520,Human,जयन्त 1
521,Human,जयन्त 2
523,God,जयन्त 3
524,Goddess,शची
525,Devi,जया
526,Sea,जलोद
527,Devine_fire,बडवाग्नि
528,Rishi,और्व
529,Rakshasa,जव
530,Rakshasa,विराध
531,Rishi,जह्नु
532,Human,जाबाली
533,Human,जाबालि
534,Monkey,ज्योतिर्मुख
536,Human,तक्ष
537,Snake,तक्षक
538,Town,तक्षशिला
539,Rakshasa,तपन
541,Monkey,तरसा
542,Rakshasa,सुन्द
543,River,ताम्रपर्णी
544,Town,किष्किन्धा
545,Monkey,तारा 1
546,Monkey,तारेय
547,Devine_bird,तार्क्ष्य
548,Monkey,वानरसन्तान 1
549,Rakshasa,तिमिध्वज
550,Rakshasa,शम्बर
551,Gandharva,तुम्बुरु
552,Rishi,भरद्वाज
553,Rajarshi,तृणबिन्दु
554,Village,तोरण
555,Hill,त्रिकुट
556,Brahmana,त्रिजट
557,Rakshashi,त्रिजटा
558,Vimana,पुष्पक
559,Bunch_of_cities,त्रिपुर
560,Loka,स्वर्ग
561,Rakshasa,त्रिशिरा 1
562,Rakshasa,त्रिशिरा 2
563,Aditya,त्वष्टा
564,Devi,सुप्रभा
565,Rakshasa,दण्ड 1
566,Human,दण्ड 2
567,Town,मधुमन्त
568,Demi-god,दण्डिन्
569,Monkey,दधिवक्त्र
570,Devi,दानू
571,Human,दन्तवक्त्र
573,Human,भीम
574,Human,दमयन्ती
575,Human,नैषध
576,Country,दरद
577,Monkey,दरीमुख
578,Mountain,दुर्दर
579,Residential_place,आश्रम 2
580,Cluster_of_towns,दशार्ण
581,Land,दाक्षिणात्य
582,Race,दानवाः
583,Hill,शिशिर
584,Human,दिलिप
585,Human,दीर्घायु
586,Asura,दुन्दुभि 1
587,Asura,मायाविन्
588,Asura,दुन्दुभि 2
589,Asura,मय
590,Asura,हेमा
591,Asura,मन्दोदरी
592,Rakshasa,दुर्जय
593,Rakshasa,दुर्धर 1
594,Monkey,दुर्धर 2
595,Type_of_god,वसु 1
596,Rakshasa,दुर्धर्ष
597,Rakshasa,समुन्नत
598,Monkey,दुर्मुख 1
599,Rakshasa,दुर्मुख 2
600,Rakshashi,दुर्मुखी
601,Rishi,दुर्वासा
602,King,दुष्यन्त
603,Rakshasa,दूषण
604,Human,दृढनेत्र
605,Gana,देवाः
606,Human,देवमीढ
607,Human,कीर्तिरथ
608,Human,विवुध
609,Human,देवयानी
610,Human,देवरात 1
611,Human,निमि
612,Human,देवरात 2
613,Human,बृहद्रथ
614,Devi,देववती
615,Rakshasa,सुकेश
617,Devi,देववर्णिनी
618,Range_of_hills,देवसख
619,Rakshasa,देवान्तक
620,Place,द्राविड
621,Country,द्रुमकुल्य
622,Hill,द्रोण
623,Rakshasa,द्विजिह्व
